%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2,field.values3,field.values4,field.values5,field.values6
1732448970801229568,95,1732448970,,0.013177572749555111,-0.00031013856641948223,0.0005878487718291581,0.999498188495636,0.00830262340605259,-0.0027675412129610777,0.03044295310974121
1732448970811002880,96,1732448970,,0.013351768255233765,-0.0004513934545684606,0.0008431231835857034,0.9994282722473145,0.01107016485184431,-0.0027675412129610777,0.031826723366975784
1732448970819727616,97,1732448970,,0.013504529371857643,-0.0006010480574332178,0.0011425508419051766,0.9993698596954346,0.012453935109078884,-0.0013837706064805388,0.03321049362421036
1732448970828884224,98,1732448970,,0.013653531670570374,-0.0007753418758511543,0.00151337799616158,0.9993056058883667,0.013837706297636032,0.0,0.03459426388144493
1732448970840618496,99,1732448970,,0.013802126049995422,-0.0009783301502466202,0.0019606249406933784,0.999232828617096,0.015221476554870605,0.0027675412129610777,0.035978034138679504
1732448970849155328,100,1732448970,,0.01395560521632433,-0.001212421921081841,0.0024723641108721495,0.9992126822471619,0.015221476554870605,0.006918853148818016,0.035978034138679504
1732448970860743680,101,1732448970,,0.014121095649898052,-0.0014782650396227837,0.003033965127542615,0.9991245269775391,0.015221476554870605,0.01107016485184431,0.03736180439591408
1732448970869581056,102,1732448970,,0.014307430945336819,-0.0017750503029674292,0.0036477777175605297,0.9990152716636658,0.013837706297636032,0.01660524681210518,0.03874557837843895
1732448970879617280,103,1732448970,,0.014524335972964764,-0.002099991776049137,0.004322333727031946,0.9989175200462341,0.01107016485184431,0.020756559446454048,0.040129344910383224
1732448970890172928,104,1732448970,,0.014780151657760143,-0.002448393264785409,0.005045509431511164,0.998883068561554,0.00830262340605259,0.023524099960923195,0.040129344910383224
1732448970900434432,105,1732448970,,0.015081462450325489,-0.0028151944279670715,0.00581073435023427,0.998803436756134,0.006918853148818016,0.024907870218157768,0.041513118892908096
1732448970911130624,106,1732448970,,0.01543361321091652,-0.003196470905095339,0.006629894021898508,0.9986990094184875,0.00830262340605259,0.02629164233803749,0.04289688542485237
1732448970918448896,107,1732448970,,0.01583927497267723,-0.003591105341911316,0.007505806628614664,0.9987344741821289,0.00830262340605259,0.024907870218157768,0.04289688542485237
1732448970929689088,108,1732448970,,0.01629810594022274,-0.004000597633421421,0.008436137810349464,0.9986951351165771,0.009686394594609737,0.023524099960923195,0.04428065940737724
1732448970938496256,109,1732448970,,0.016807246953248978,-0.004427463281899691,0.00941805075854063,0.9987421035766602,0.01107016485184431,0.020756559446454048,0.04428065940737724
1732448970949737216,110,1732448970,,0.01736167073249817,-0.004873804748058319,0.010450168512761593,0.9988197684288025,0.01107016485184431,0.01660524681210518,0.04428065940737724
1732448970960481280,111,1732448970,,0.017953965812921524,-0.00534047232940793,0.011528801172971725,0.9989108443260193,0.009686394594609737,0.01107016485184431,0.04428065940737724
1732448970969086464,112,1732448970,,0.018575023859739304,-0.00582656916230917,0.012649290263652802,0.9989606738090515,0.00830262340605259,0.006918853148818016,0.04428065940737724
1732448970980482048,113,1732448970,,0.01921464502811432,-0.0063297017477452755,0.013812355697154999,0.9990028142929077,0.005535082425922155,0.0013837706064805388,0.04428065940737724
1732448970989814784,114,1732448970,,0.019862761721014977,-0.006846703588962555,0.015015251003205776,0.9990066885948181,0.004151311703026295,-0.0027675412129610777,0.04428065940737724
1732448970999383040,115,1732448970,,0.02051025815308094,-0.007373948581516743,0.016256794333457947,0.9989942312240601,0.0013837706064805388,-0.006918853148818016,0.04428065940737724
1732448971008598016,116,1732448971,,0.021148700267076492,-0.007907375693321228,0.017536895349621773,0.9989721775054932,-0.0,-0.009686394594609737,0.04428065940737724
1732448971019627264,117,1732448971,,0.0217707771807909,-0.008442969992756844,0.01885114051401615,0.9989376664161682,-0.0027675412129610777,-0.012453935109078884,0.04428065940737724
1732448971030326528,118,1732448971,,0.022370558232069016,-0.008976813405752182,0.020197656005620956,0.9989146590232849,-0.004151311703026295,-0.013837706297636032,0.04428065940737724
1732448971040803584,119,1732448971,,0.02294311672449112,-0.009504782035946846,0.021585112437605858,0.9988791942596436,-0.006918853148818016,-0.015221476554870605,0.04428065940737724
1732448971050063104,120,1732448971,,0.02348504774272442,-0.010022728703916073,0.02302556298673153,0.9989290237426758,-0.00830262340605259,-0.015221476554870605,0.04289688542485237
1732448971058896896,121,1732448971,,0.02399452030658722,-0.010526986792683601,0.02452443353831768,0.9989165663719177,-0.009686394594609737,-0.015221476554870605,0.04289688542485237
1732448971070041856,122,1732448971,,0.02447045035660267,-0.011014525778591633,0.026086030527949333,0.9989750385284424,-0.009686394594609737,-0.015221476554870605,0.041513118892908096
1732448971080140288,123,1732448971,,0.024912338703870773,-0.011483416892588139,0.02771373838186264,0.9989750385284424,-0.009686394594609737,-0.015221476554870605,0.041513118892908096
1732448971092335616,124,1732448971,,0.025320086628198624,-0.01193325873464346,0.02940787747502327,0.9989874958992004,-0.00830262340605259,-0.015221476554870605,0.041513118892908096
1732448971101299456,125,1732448971,,0.025693757459521294,-0.012365037575364113,0.03116915002465248,0.9989759922027588,-0.006918853148818016,-0.01660524681210518,0.041513118892908096
1732448971111516160,126,1732448971,,0.02603345550596714,-0.01278116274625063,0.03299417719244957,0.9990411996841431,-0.005535082425922155,-0.01660524681210518,0.040129344910383224
1732448971121704960,127,1732448971,,0.026339158415794373,-0.013184712268412113,0.03487416356801987,0.9990478754043579,-0.004151311703026295,-0.01660524681210518,0.040129344910383224
1732448971129762816,128,1732448971,,0.026610329747200012,-0.013578495942056179,0.03680478781461716,0.9990239143371582,-0.004151311703026295,-0.017989017069339752,0.040129344910383224
1732448971141211392,129,1732448971,,0.026845840737223625,-0.013965250924229622,0.03878755122423172,0.9990833401679993,-0.0027675412129610777,-0.017989017069339752,0.03874557837843895
1732448971149814528,130,1732448971,,0.027044465765357018,-0.014347811229526997,0.04082094505429268,0.9990862011909485,-0.0013837706064805388,-0.017989017069339752,0.03874557837843895
1732448971160907520,131,1732448971,,0.027205396443605423,-0.01472874078899622,0.04290076345205307,0.9990612864494324,0.0,-0.019372789189219475,0.03874557837843895
1732448971170144256,132,1732448971,,0.02732810750603676,-0.015110231935977936,0.04502500593662262,0.9991139769554138,0.0,-0.019372789189219475,0.03736180439591408
1732448971180359680,133,1732448971,,0.027412358671426773,-0.015493934974074364,0.047194164246320724,0.9991388916969299,0.0013837706064805388,-0.017989017069339752,0.03736180439591408
1732448971190611712,134,1732448971,,0.027458669617772102,-0.015880806371569633,0.049408502876758575,0.9991896748542786,0.0013837706064805388,-0.017989017069339752,0.035978034138679504
1732448971201332480,135,1732448971,,0.027468416839838028,-0.016271216794848442,0.05167139694094658,0.9992625117301941,0.0013837706064805388,-0.01660524681210518,0.03459426388144493
1732448971209681920,136,1732448971,,0.027443833649158478,-0.01666494645178318,0.053984031081199646,0.999284565448761,0.0013837706064805388,-0.015221476554870605,0.03459426388144493
1732448971220250368,137,1732448971,,0.02738780900835991,-0.017061401158571243,0.0563398078083992,0.999370813369751,0.0,-0.012453935109078884,0.03321049362421036
1732448971230759680,138,1732448971,,0.027303611859679222,-0.017460012808442116,0.0587332621216774,0.9994320869445801,0.0,-0.01107016485184431,0.031826723366975784
1732448971241546752,139,1732448971,,0.027194591239094734,-0.017860088497400284,0.061161380261182785,0.999446451663971,-0.0,-0.009686394594609737,0.031826723366975784
1732448971248318720,140,1732448971,,0.02706356719136238,-0.018260659649968147,0.06361989676952362,0.9994885921478271,-0.0013837706064805388,-0.009686394594609737,0.03044295310974121
1732448971259663360,141,1732448971,,0.026912109926342964,-0.018660621717572212,0.06611417979001999,0.9995297789573669,-0.0013837706064805388,-0.009686394594609737,0.029059182852506638
1732448971268587520,142,1732448971,,0.02674069069325924,-0.019058957695961,0.0686543732881546,0.9995690584182739,-0.0013837706064805388,-0.009686394594609737,0.027675412595272064
1732448971279427072,143,1732448971,,0.026549218222498894,-0.019455133005976677,0.07123810052871704,0.9996064305305481,-0.0013837706064805388,-0.009686394594609737,0.02629164233803749
1732448971288653056,144,1732448971,,0.02633700892329216,-0.019848966971039772,0.07386071234941483,0.9996274709701538,-0.0013837706064805388,-0.01107016485184431,0.024907870218157768
1732448971299967232,145,1732448971,,0.026102790609002113,-0.02024061791598797,0.07652158290147781,0.9996446967124939,-0.0013837706064805388,-0.012453935109078884,0.023524099960923195
1732448971309357056,146,1732448971,,0.025845080614089966,-0.02063084952533245,0.07921500504016876,0.9996457099914551,-0.0,-0.012453935109078884,0.023524099960923195
1732448971318383872,147,1732448971,,0.025562124326825142,-0.021020835265517235,0.08194228261709213,0.9996591210365295,0.0,-0.013837706297636032,0.02214032970368862
1732448971328711424,148,1732448971,,0.025252068415284157,-0.021411916241049767,0.08470549434423447,0.9996677041053772,0.0013837706064805388,-0.015221476554870605,0.020756559446454048
1732448971340441856,149,1732448971,,0.024913115426898003,-0.02180538885295391,0.08749528974294662,0.9996734857559204,0.0013837706064805388,-0.01660524681210518,0.019372789189219475
1732448971350382848,150,1732448971,,0.024543125182390213,-0.022202353924512863,0.09030546993017197,0.9996993541717529,0.0013837706064805388,-0.01660524681210518,0.017989017069339752
1732448971361074432,151,1732448971,,0.0241397675126791,-0.022603638470172882,0.09313679486513138,0.9996964335441589,0.0027675412129610777,-0.017989017069339752,0.01660524681210518
1732448971369103872,152,1732448971,,0.023700885474681854,-0.0230098869651556,0.09599258750677109,0.9996926188468933,0.0027675412129610777,-0.019372789189219475,0.015221476554870605
