%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2,field.values3,field.values4,field.values5,field.values6
1735739965877963776,79,1735739965,,0.015381299890577793,-0.0011899529490619898,0.00011874431947944686,1.0,-0.0,0.0,0.0
1735739965891688448,80,1735739965,,0.016005754470825195,-0.0012337754014879465,0.00017880821542348713,1.0,-0.0,0.0,0.0
1735739965899529216,81,1735739965,,0.0166306272149086,-0.0012774018105119467,0.00027170905377715826,0.9999990463256836,-0.0,0.0,0.0013837706064805388
1735739965910646016,82,1735739965,,0.017255976796150208,-0.0013208882883191109,0.0003761008847504854,1.0,-0.0,0.0,0.0
1735739965921153024,83,1735739965,,0.01788199320435524,-0.001364256488159299,0.0004744600737467408,0.9999990463256836,0.0,0.0,0.0013837706064805388
1735739965932127488,84,1735739965,,0.018571460619568825,-0.0014118743129074574,0.0005965468590147793,0.9999990463256836,0.0,0.0,0.0013837706064805388
1735739965940076544,85,1735739965,,0.019198760390281677,-0.0014553888468071818,0.0007292862283065915,0.9999961256980896,0.0,0.0,0.0027675412129610777
1735739965948220416,86,1735739965,,0.019826283678412437,-0.0014994435478001833,0.0008636507554911077,0.9999961256980896,0.0,-0.0,0.0027675412129610777
1735739965959215872,87,1735739965,,0.020453816279768944,-0.0015444359742105007,0.0009823632426559925,0.9999961256980896,0.0,-0.0,0.0027675412129610777
1735739965969591040,88,1735739965,,0.021080996841192245,-0.0015906625194475055,0.0011039983946830034,0.9999990463256836,0.0,-0.0,0.0013837706064805388
1735739965979926784,89,1735739965,,0.02170751430094242,-0.0016381811583414674,0.0012486070627346635,0.9999980926513672,0.0013837706064805388,-0.0,0.0013837706064805388
1735739965987911424,90,1735739965,,0.02233302779495716,-0.0016875442815944552,0.001403682748787105,0.9999980926513672,0.0013837706064805388,-0.0,0.0013837706064805388
1735739966017174528,91,1735739966,,0.02233302779495716,-0.0016875442815944552,0.001403682748787105,0.9999980926513672,0.0013837706064805388,-0.0,0.0013837706064805388
1735739966022486272,92,1735739966,,0.02295728214085102,-0.001739501953125,0.0015652088914066553,0.9999971389770508,0.0013837706064805388,-0.0013837706064805388,0.0013837706064805388
