%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2,field.values3,field.values4,field.values5,field.values6
1735734360169615872,96,1735734360,,0.042435904815793034,-0.01396670733578503,0.00000101060104710240,0.9998075366020203,0.0013837706064805388,-0.0027675412129610777,0.019372789189219475
1735734360180024320,97,1735734360,,0.0433814762532711,-0.014310623276978731,0.00002305665778841521,0.9997797608375549,0.0013837706064805388,-0.0027675412129610777,0.020756559446454048
1735734360188006912,98,1735734360,,0.04441635318100453,-0.014693058924749494,0.00002223511275142146,0.9997184872627258,0.0013837706064805388,-0.0027675412129610777,0.023524099960923195
1735734360199312128,99,1735734360,,0.045351118296384815,-0.015044042067602275,0.00003101264133102324,0.9996801614761353,0.0013837706064805388,-0.004151311703026295,0.024907870218157768
1735734360209556736,100,1735734360,,0.046278541684150694,-0.015397722087800502,0.00009065215066074,0.9996446967124939,0.0013837706064805388,-0.004151311703026295,0.02629164233803749
1735734360219932928,101,1735734360,,0.04719771794974804,-0.015753743089735508,0.0000929543826729,0.9996073842048645,0.0013837706064805388,-0.004151311703026295,0.027675412595272064
1735734360227316992,102,1735734360,,0.04810797899961471,-0.016112238764762882,0.00006429832782594,0.9995585083961487,0.0027675412129610777,-0.005535082425922155,0.029059182852506638
1735734360239582464,103,1735734360,,0.04900819309055806,-0.016474839225411413,0.00009884403478352,0.9995039105415344,0.004151311703026295,-0.006918853148818016,0.03044295310974121
1735734360252349184,104,1735734360,,0.049896418005228045,-0.016845440883189438,0.00009821300599722,0.9994454979896545,0.006918853148818016,-0.006918853148818016,0.031826723366975784
1735734360258319360,105,1735734360,,0.05077095977962017,-0.01722866116091609,0.00005487500950692,0.9994244575500488,0.00830262340605259,-0.00830262340605259,0.031826723366975784
1735734360269413632,106,1735734360,,0.05163026683032513,-0.01762883350253105,0.00047172720357774,0.9993545413017273,0.009686394594609737,-0.009686394594609737,0.03321049362421036
1735734360279767552,107,1735734360,,0.05247183106839657,-0.018048648331314324,0.0001577617637813,0.9993525743484497,0.00830262340605259,-0.01107016485184431,0.03321049362421036
1735734360287903744,108,1735734360,,0.05329299472272396,-0.018488225508481265,0.0009126054625958,0.9993056058883667,0.00830262340605259,-0.01107016485184431,0.03459426388144493
1735734360298740992,109,1735734360,,0.05409224271774292,-0.01894641252234578,0.0057359104976058,0.9992672801017761,0.006918853148818016,-0.01107016485184431,0.035978034138679504
1735734360308914944,110,1735734360,,0.05486995838582515,-0.019420837964862585,0.006619390565902,0.9992395043373108,0.005535082425922155,-0.009686394594609737,0.03736180439591408
1735734360319929344,111,1735734360,,0.055627696961164465,-0.01990811252966523,0.00755347311496734,0.9992634654045105,0.0027675412129610777,-0.00830262340605259,0.03736180439591408
1735734360326901760,112,1735734360,,0.05636708669364452,-0.02040340488776565,0.00853843260556458,0.9992136359214783,-0.0013837706064805388,-0.00830262340605259,0.03874557837843895
1735734360338909184,113,1735734360,,0.057089540436863914,-0.02090031445026398,0.1795696736127138,0.9991618990898132,-0.004151311703026295,-0.006918853148818016,0.040129344910383224
1735734360352268800,114,1735734360,,0.057796171680092816,-0.021392698790878056,0.17063716234639286,0.9991552233695984,-0.005535082425922155,-0.006918853148818016,0.040129344910383224
1735734360358329088,115,1735734360,,0.058487469628453255,-0.02187561040744185,0.18173394862562418,0.9990795254707336,-0.006918853148818016,-0.00830262340605259,0.041513118892908096
