%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2,field.values3,field.values4,field.values5,field.values6
1735739965877963776,79,1735739965,,0.015227486891672014,-0.00117805341957137,0.0000356232958438,1.0,-0.0,0.0,0.0
1735739965891688448,80,1735739965,,0.015845696926116943,-0.001221437647473067,0.000053642464627,1.0,-0.0,0.0,0.0
1735739965899529216,81,1735739965,,0.016464320942759514,-0.0012646277924068272,0.0000815127161331,0.9999990463256836,-0.0,0.0,0.0013837706064805388
1735739965910646016,82,1735739965,,0.01708341702818871,-0.0013076794054359196,0.0001128302654251,1.0,-0.0,0.0,0.0
1735739965921153024,83,1735739965,,0.017703173272311686,-0.001350613923277706,0.000142338022124,0.9999990463256836,0.0,0.0,0.0013837706064805388
1735739965932127488,84,1735739965,,0.018385746013373137,-0.0013977555697783828,0.0001789640577044,0.9999990463256836,0.0,0.0,0.0013837706064805388
1735739965940076544,85,1735739965,,0.019006772786378863,-0.00144083495833911,0.00021878586849193,0.9999961256980896,0.0,0.0,0.0027675412129610777
1735739965948220416,86,1735739965,,0.019628020841628315,-0.0014844491123221814,0.0002590952266473,0.9999961256980896,0.0,-0.0,0.0027675412129610777
1735739965959215872,87,1735739965,,0.020249278116971255,-0.0015289916144683956,0.00029470897279675,0.9999961256980896,0.0,-0.0,0.0027675412129610777
1735739965969591040,88,1735739965,,0.020870186872780323,-0.0015747558942530303,0.00033119951840486,0.9999990463256836,0.0,-0.0,0.0013837706064805388
1735739965979926784,89,1735739965,,0.021490439157932993,-0.001621799346758053,0.00037458211882034,0.9999980926513672,0.0013837706064805388,-0.0,0.0013837706064805388
1735739965987911424,90,1735739965,,0.02210969751700759,-0.0016706688387785108,0.00042110482463607,0.9999980926513672,0.0013837706064805388,-0.0,0.0013837706064805388
1735739966017174528,91,1735739966,,0.02210969751700759,-0.0016706688387785108,0.00042110482463607,0.9999980926513672,0.0013837706064805388,-0.0,0.0013837706064805388
1735739966022486272,92,1735739966,,0.022727709319442506,-0.00172210693359375,0.00046956266742197,0.9999971389770508,0.0013837706064805388,-0.0013837706064805388,0.0013837706064805388
1735739966028809472,93,1735739966,,0.02334433441981673,-0.0017769263824447992,0.0005229953443631,0.9999942183494568,0.0027675412129610777,-0.0013837706064805388,0.0013837706064805388
1735739966036827648,94,1735739966,,0.0239591265656054,-0.00183615165296942,0.0005847495049238,0.9999942183494568,0.0027675412129610777,-0.0013837706064805388,0.0013837706064805388
1735739966042866176,95,1735739966,,0.024571283608675002,-0.0019011865044012669,0.0006621602224186,0.9999837279319763,0.004151311703026295,-0.0027675412129610777,0.0027675412129610777
1735739966050954496,96,1735739966,,0.02517945572733879,-0.001974751555826515,0.0007604527752846,0.9999769926071167,0.005535082425922155,-0.0027675412129610777,0.0027675412129610777
