%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2,field.values3,field.values4,field.values5,field.values6
1735734360169615872,96,1735734360,,0.04330194368958473,-0.014107785187661648,0.00015191268175840378,0.9998075366020203,0.0013837706064805388,-0.0027675412129610777,0.019372789189219475
1735734360180024320,97,1735734360,,0.04426681250333786,-0.014455175027251244,0.00026051801978610456,0.9997797608375549,0.0013837706064805388,-0.0027675412129610777,0.020756559446454048
1735734360188006912,98,1735734360,,0.045322809368371964,-0.014841473661363125,0.00043332765926606953,0.9997184872627258,0.0013837706064805388,-0.0027675412129610777,0.023524099960923195
1735734360199312128,99,1735734360,,0.046276651322841644,-0.015196002088487148,0.0006633803714066744,0.9996801614761353,0.0013837706064805388,-0.004151311703026295,0.024907870218157768
1735734360209556736,100,1735734360,,0.04722300171852112,-0.015553254634141922,0.0009866459295153618,0.9996446967124939,0.0013837706064805388,-0.004151311703026295,0.02629164233803749
1735734360219932928,101,1735734360,,0.04816093668341637,-0.015912871807813644,0.0014185062609612942,0.9996073842048645,0.0013837706064805388,-0.004151311703026295,0.027675412595272064
1735734360227316992,102,1735734360,,0.04908977448940277,-0.016274988651275635,0.0019489976111799479,0.9995585083961487,0.0027675412129610777,-0.005535082425922155,0.029059182852506638
1735734360239582464,103,1735734360,,0.05000836029648781,-0.016641251742839813,0.0025697771925479174,0.9995039105415344,0.004151311703026295,-0.006918853148818016,0.03044295310974121
1735734360252349184,104,1735734360,,0.0509147122502327,-0.017015596851706505,0.003283161437138915,0.9994454979896545,0.006918853148818016,-0.006918853148818016,0.031826723366975784
1735734360258319360,105,1735734360,,0.05180710181593895,-0.017402688041329384,0.004078392870724201,0.9994244575500488,0.00830262340605259,-0.00830262340605259,0.031826723366975784
1735734360269413632,106,1735734360,,0.05268394574522972,-0.017806902527809143,0.004959610290825367,0.9993545413017273,0.009686394594609737,-0.009686394594609737,0.03321049362421036
1735734360279767552,107,1735734360,,0.05354268476366997,-0.01823095791041851,0.005939659662544727,0.9993525743484497,0.00830262340605259,-0.01107016485184431,0.03321049362421036
1735734360287903744,108,1735734360,,0.05438060685992241,-0.018674975261092186,0.007018007803708315,0.9993056058883667,0.00830262340605259,-0.01107016485184431,0.03459426388144493
1735734360298740992,109,1735734360,,0.055196166038513184,-0.0191377904266119,0.008194157853722572,0.9992672801017761,0.006918853148818016,-0.01107016485184431,0.035978034138679504
1735734360308914944,110,1735734360,,0.05598975345492363,-0.019617008045315742,0.00945627223700285,0.9992395043373108,0.005535082425922155,-0.009686394594609737,0.03736180439591408
1735734360319929344,111,1735734360,,0.05676295608282089,-0.020109204575419426,0.01079067587852478,0.9992634654045105,0.0027675412129610777,-0.00830262340605259,0.03736180439591408
1735734360326901760,112,1735734360,,0.057517435401678085,-0.020609499886631966,0.012197760865092278,0.9992136359214783,-0.0013837706064805388,-0.00830262340605259,0.03874557837843895
1735734360338909184,113,1735734360,,0.058254633098840714,-0.02111142873764038,0.013670962303876877,0.9991618990898132,-0.004151311703026295,-0.006918853148818016,0.040129344910383224
1735734360352268800,114,1735734360,,0.05897568538784981,-0.021608786657452583,0.015195946209132671,0.9991552233695984,-0.005535082425922155,-0.006918853148818016,0.040129344910383224
1735734360358329088,115,1735734360,,0.05968109145760536,-0.022096576169133186,0.016762783750891685,0.9990795254707336,-0.006918853148818016,-0.00830262340605259,0.041513118892908096
1735734360369254400,116,1735734360,,0.06037050485610962,-0.022571178153157234,0.018371254205703735,0.9990689754486084,-0.00830262340605259,-0.00830262340605259,0.041513118892908096
1735734360379401472,117,1735734360,,0.06104264408349991,-0.023029720410704613,0.0200351569801569,0.9989855885505676,-0.009686394594609737,-0.009686394594609737,0.04289688542485237
1735734360389276416,118,1735734360,,0.06169494614005089,-0.023470111191272736,0.02177390456199646,0.9989108443260193,-0.009686394594609737,-0.01107016485184431,0.04428065940737724
1735734360399703296,119,1735734360,,0.06232377141714096,-0.023891890421509743,0.02358626201748848,0.9988763332366943,-0.009686394594609737,-0.013837706297636032,0.04428065940737724
1735734360409959168,120,1735734360,,0.06292533129453659,-0.024295981973409653,0.02545037493109703,0.998806357383728,-0.00830262340605259,-0.015221476554870605,0.045664429664611816
1735734360418259200,121,1735734360,,0.06349558383226395,-0.02468356490135193,0.027357013896107674,0.9987603425979614,-0.00830262340605259,-0.017989017069339752,0.045664429664611816
1735734360427935488,122,1735734360,,0.06403015553951263,-0.02505587413907051,0.02931692637503147,0.9986807703971863,-0.006918853148818016,-0.019372789189219475,0.04704819992184639
1735734360437598976,123,1735734360,,0.0645252913236618,-0.025414440780878067,0.03134218975901604,0.9986807703971863,-0.006918853148818016,-0.019372789189219475,0.04704819992184639
1735734360451097344,124,1735734360,,0.06497909128665924,-0.025761084631085396,0.03342510014772415,0.9985954165458679,-0.005535082425922155,-0.020756559446454048,0.04843197017908096
1735734360457709312,125,1735734360,,0.065390445291996,-0.026097659021615982,0.035558298230171204,0.998534083366394,-0.004151311703026295,-0.020756559446454048,0.049815740436315536
1735734360469444352,126,1735734360,,0.06575804203748703,-0.02642584778368473,0.037748243659734726,0.998534083366394,-0.004151311703026295,-0.020756559446454048,0.049815740436315536
1735734360477683200,127,1735734360,,0.06608147919178009,-0.02674758806824684,0.03999977558851242,0.9984688758850098,-0.0027675412129610777,-0.020756559446454048,0.05119951069355011
1735734360487427328,128,1735734360,,0.06636185199022293,-0.02706475369632244,0.04230661690235138,0.9984995722770691,-0.0013837706064805388,-0.019372789189219475,0.05119951069355011
1735734360497661952,129,1735734360,,0.06660119444131851,-0.027379024773836136,0.04465828090906143,0.9985254406929016,-0.0013837706064805388,-0.017989017069339752,0.05119951069355011
1735734360508279552,130,1735734360,,0.06680168956518173,-0.027692057192325592,0.04704773426055908,0.9984535574913025,-0.0013837706064805388,-0.017989017069339752,0.05258328467607498
1735734360518818048,131,1735734360,,0.0669654980301857,-0.028004882857203484,0.04946647956967354,0.9984775185585022,-0.0013837706064805388,-0.01660524681210518,0.05258328467607498
1735734360528807424,132,1735734360,,0.0670943632721901,-0.02831766940653324,0.05191483721137047,0.9984775185585022,-0.0013837706064805388,-0.01660524681210518,0.05258328467607498
1735734360539561472,133,1735734360,,0.0671897903084755,-0.02862977795302868,0.05439452454447746,0.9984228610992432,-0.0027675412129610777,-0.015221476554870605,0.05396705120801926
1735734360550412544,134,1735734360,,0.06725338846445084,-0.028939925134181976,0.05689927563071251,0.9984228610992432,-0.0027675412129610777,-0.015221476554870605,0.05396705120801926
1735734360558279680,135,1735734360,,0.06728579103946686,-0.029246201738715172,0.05943259596824646,0.9984180927276611,-0.004151311703026295,-0.015221476554870605,0.05396705120801926
1735734360568778240,136,1735734360,,0.06728660315275192,-0.029546204954385757,0.06200207397341728,0.9984113574028015,-0.005535082425922155,-0.015221476554870605,0.05396705120801926
1735734360578802944,137,1735734360,,0.06725495308637619,-0.029837720096111298,0.06461098045110703,0.9983806610107422,-0.006918853148818016,-0.01660524681210518,0.05396705120801926
1735734360589264384,138,1735734360,,0.06718987971544266,-0.030119020491838455,0.06725594401359558,0.9983806610107422,-0.006918853148818016,-0.01660524681210518,0.05396705120801926
1735734360599605248,139,1735734360,,0.06709035485982895,-0.030388839542865753,0.06993068754673004,0.9983806610107422,-0.006918853148818016,-0.01660524681210518,0.05396705120801926
1735734360609740544,140,1735734360,,0.0669553205370903,-0.030646083876490593,0.07264504581689835,0.9984545111656189,-0.006918853148818016,-0.01660524681210518,0.05258328467607498
1735734360617586944,141,1735734360,,0.06678500771522522,-0.03088989481329918,0.07540486752986908,0.9984660148620605,-0.00830262340605259,-0.015221476554870605,0.05258328467607498
1735734360627174144,142,1735734360,,0.06658138334751129,-0.031119801104068756,0.07819686084985733,0.9984861612319946,-0.00830262340605259,-0.013837706297636032,0.05258328467607498
1735734360638973696,143,1735734360,,0.06634652614593506,-0.0313355028629303,0.08102162927389145,0.9984967112541199,-0.006918853148818016,-0.013837706297636032,0.05258328467607498
1735734360651817472,144,1735734360,,0.06608226895332336,-0.03153723478317261,0.08389140665531158,0.9985148906707764,-0.006918853148818016,-0.012453935109078884,0.05258328467607498
